model_num,test_acc,test_loss,train_acc,train_loss,g_gap,mqBE_L1,mqBE_L2,mqBE_L3,mqBE_L4,mqBE_L5,mqAE_L1,mqAE_L2,mqAE_L3,mqAE_L4,mqAE_L5,erBE_L1,erBE_L2,erBE_L3,erBE_L4,erBE_L5,erAE_L1,erAE_L2,erAE_L3,erAE_L4,erAE_L5
10668,0.9184,0.30832716951370237,0.9959,0.021317292844057083,-0.0775,0.519653676486916,0.5510935047562279,0.4932496132339908,0.5080608415105788,0.49173969369914206,0.26808194024984877,0.34493212421248837,0.23726185095108548,0.22854124339981025,0.21898570557339855,3.3719451,3.432922771089023,3.2744050940509224,3.5955307865774393,3.5702730812177954,2.1393428,2.1834636261746856,2.081745974678457,2.1608511885416877,2.1110864165497305
10673,0.9214,0.28915622754096987,0.99318,0.028838704109787942,-0.07177999999999997,0.5261971151140747,0.5528119685270045,0.5064123399329057,0.49875813692631504,0.48893805861075545,0.31362662826015086,0.38256233351079433,0.2802297610231051,0.2541688891742529,0.2415307051686837,3.2655044,3.339673253275115,3.1591151532713018,3.5844220577237293,3.5468828163236985,2.0882638,2.113936241277532,2.05706691534373,2.1400334671565466,2.119050782028684
10680,0.9172,0.30999818477630614,0.9929600000000001,0.030628828263282774,-0.07576000000000008,0.541059552683171,0.5781667222193487,0.5053714892989633,0.489687614726053,0.4618850348832005,0.4200112754490716,0.5900847852295339,0.313307658912355,0.26440143044596803,0.2328060794695811,3.1732328,3.2760357085992466,3.0340034063371606,3.6068761739906194,3.5617905303146515,1.9947313,2.0693432490030923,1.8754713476438767,2.1816928630044474,2.141666880788016
10704,0.9098999999999999,0.3355815643310547,0.9915600000000001,0.035404383969306945,-0.08166000000000011,0.5793944016909203,0.610745047430586,0.5516272872008003,0.5325337470811452,0.5151944108271526,0.4546219999373986,0.61777213134154,0.3437511052217913,0.2803190694534764,0.2452877609281498,3.080092,3.1775969330015905,2.952105996314593,3.5259047103428878,3.471542815883455,1.8132318,1.9096509665860362,1.6746097076730098,2.0347626690069833,1.9568005486207045
10707,0.9194,0.29788803067207337,0.99346,0.02788352697432041,-0.07406000000000006,0.5709059460718281,0.6096005923394275,0.5371981084624536,0.5467966233583172,0.5247067566104507,0.3949680953036668,0.5657778859578004,0.2967971713670236,0.3279250799079418,0.2603387795599066,3.276368,3.338025731029946,3.1833323325542744,3.5495796973039377,3.5151359658191494,2.1008542,2.161017652650018,2.011167499005919,2.169605937348791,2.0997350822051675
10708,0.9178000000000001,0.2996790773391724,0.99454,0.02461845020890236,-0.07673999999999992,0.548879058161292,0.5886269898108074,0.5138507753346347,0.5086345131691009,0.48571419236098934,0.34852655368224295,0.4863236094778118,0.273774424910643,0.28820029080924825,0.23999971568083533,3.3035283,3.3650184966447774,3.2090165678482987,3.5685422613904194,3.5370561646814958,2.0396206,2.115410333736895,1.9328895653729774,2.11395597071261,2.0215700456913814
10737,0.9218999999999999,0.29574691171646117,0.9950199999999999,0.023704158660173415,-0.07311999999999998,0.5348653146281045,0.5645111620572157,0.511082551546205,0.525213585260881,0.5106877896144607,0.3062136903584185,0.37857493398300357,0.2711425436094026,0.24573010606321505,0.23354181739127694,3.2970557,3.3771558168496205,3.1840897728440503,3.653165067323006,3.6111290495982877,2.1041064,2.1437052442362643,2.0466685600831007,2.201900636372359,2.1662266968444426
10778,0.8965000000000001,0.33949946403503417,0.9558,0.13370113107681275,-0.05929999999999993,0.6241835905563654,0.6691340850338132,0.5812550004464304,0.5330354040231317,0.5084091373947067,0.5840923187905032,0.7582851860947077,0.4378118042157694,0.4811712199585754,0.36760871712922216,2.887904,2.9654341873208065,2.785556822763523,3.219212526702104,3.178487200613645,1.5568916,1.6893018933878081,1.4029168315510987,1.6232100082832632,1.480852547553503
10783,0.9006000000000001,0.32254640207290647,0.9749800000000001,0.08234814516067505,-0.07438000000000003,0.5515174092624306,0.602946462723245,0.5028889796966965,0.4454256540192979,0.41040765090968023,0.5260807034775166,0.7506595811227598,0.3395295554347412,0.27686583868551073,0.20965247286940497,3.0121582,3.1117856119495233,2.8814568329792856,3.453139226877553,3.4049571758782724,1.8052607,1.9344183954304037,1.6512898828959703,1.93436519538655,1.7687569272970056
10797,0.9081999999999999,0.310172739982605,0.9771,0.07624439154624939,-0.0689,0.63945681025877,0.687574179604278,0.5935824651309528,0.5380507231606083,0.5113345976431682,0.5188501214381787,0.7468921728134569,0.3329250164196346,0.3024621759519531,0.228396416672815,3.0718496,3.1695303166710445,2.941547525694637,3.4822834681372012,3.4396604769846286,1.7053679,1.810564487677498,1.5784964308377234,1.7412934474807849,1.6084791202563318
10798,0.9063,0.31243263969421387,0.98016,0.06929871433019638,-0.07386000000000009,0.6272477748854584,0.6728816823133369,0.580841367450321,0.5217146689884882,0.49002621201902563,0.5220569205145036,0.7628746278727069,0.33386739237765606,0.2920716032171922,0.22381916955628856,3.0850089,3.1853257816377214,2.9514056436301535,3.513770592682005,3.4703592247064465,1.8882022,1.9755588552978034,1.7903181183229993,1.9908301081094477,1.9045549195034637
10813,0.9091,0.3050894347190857,0.9845,0.05879456740140915,-0.07540000000000006,0.6342263681536482,0.6885261828267947,0.5823054703070648,0.5234112334531992,0.4971277223515296,0.34840949264570953,0.48236076608811507,0.27134343084251916,0.29675954419544104,0.2324121737841634,3.1012218,3.207362107915311,2.9625223094059834,3.5707973914732523,3.5208273706915234,1.7958212,1.9060313753802969,1.6642179828608417,1.9275671739706257,1.8188929023344684
10817,0.8884000000000001,0.36005595774650573,0.95356,0.14001223942756652,-0.06515999999999991,0.7193341783803797,0.7527914724970827,0.6883397088252049,0.6278180647971425,0.6109343060577036,0.6907444886830937,0.8842386834049789,0.49839694255789185,0.5465434562048234,0.39020295621939016,2.8063076,2.877555175848096,2.7167036665309525,3.153865828726275,3.102475412115834,1.4781799,1.595551810540544,1.340819427488348,1.5390770561993121,1.4044524038328148
